#TIME 	I(ADC)	phi(deg)	Temperature(K)	vdemod(Vdac)
174.20338	367.76178	228.54692	0.37006	0.00000
174.75410	542.42162	253.33519	0.36956	0.00645
175.19319	591.87228	240.67154	0.36939	0.00483
175.93368	94.14320	224.04454	0.36904	0.04512
176.29592	96.38252	225.74708	0.36898	-0.02095
176.93624	97.57961	224.44635	0.36867	-0.02095
177.46430	96.78328	225.89635	0.36865	0.03545
178.26527	95.76200	226.01241	0.36849	-0.01611
178.72358	95.04932	224.16298	0.36860	-0.02417
179.20185	93.64547	223.33777	0.37225	0.02900
179.77571	93.28894	222.85013	0.50237	-0.03062
180.21180	1457.93508	253.56136	0.52780	0.00645
181.04383	1319.89262	274.78662	0.53702	0.00645
181.69105	1127.10978	289.20931	0.53302	0.00483
182.18076	1012.94812	295.66790	0.52703	0.00645
182.86764	955.10855	298.58791	0.52221	0.00483
